Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NKE,NKE,NKE,NKE,NKE,NKE
Date,,,,,,
2000-01-03,4.576413154602051,6.015625,6.195312976837158,5.96875,6.164062976837158,8014400
2000-01-04,4.3267903327941895,5.6875,5.914062976837158,5.671875,5.875,9810400
2000-01-05,4.576413154602051,6.015625,6.046875,5.71875,5.71875,6542400
2000-01-06,4.552639484405518,5.984375,5.984375,5.820312976837158,5.984375,4891200
2000-01-07,4.552639484405518,5.984375,6.0,5.875,5.960937976837158,3993600
2000-01-10,4.629903793334961,6.085937976837158,6.117187976837158,6.0,6.015625,3946400
2000-01-11,4.861697196960449,6.390625,6.53125,6.15625,6.171875,10976000
2000-01-12,4.6952805519104,6.171875,6.375,6.140625,6.359375,10050400
2000-01-13,4.754716396331787,6.25,6.304687976837158,6.054687976837158,6.132812976837158,5144800
2000-01-14,4.879525184631348,6.414062976837158,6.484375,6.296875,6.328125,7680800
2000-01-18,4.814151287078857,6.328125,6.453125,6.257812976837158,6.34375,8356000
2000-01-19,5.022168159484863,6.601562976837158,6.6875,6.429687976837158,6.46875,10299200
2000-01-20,4.90330171585083,6.445312976837158,6.671875,6.40625,6.65625,5103200
2000-01-21,4.820093631744385,6.335937976837158,6.445312976837158,6.3125,6.445312976837158,10265600
2000-01-24,4.724997043609619,6.210937976837158,6.28125,6.15625,6.203125,5733600
2000-01-25,4.647732734680176,6.109375,6.265625,6.0625,6.195312976837158,3823200
2000-01-26,4.707168102264404,6.1875,6.21875,5.765625,5.765625,12886400
2000-01-27,4.493205547332764,5.90625,6.078125,5.796875,6.0,6304000
2000-01-28,4.457545757293701,5.859375,5.875,5.75,5.875,3556000
2000-01-31,4.3267903327941895,5.6875,5.773437976837158,5.679687976837158,5.75,4627200
2000-02-01,4.4397149085998535,5.835937976837158,5.890625,5.65625,5.679687976837158,5971200
2000-02-02,4.511036396026611,5.929687976837158,6.0625,5.773437976837158,5.828125,5572800
2000-02-03,4.552639484405518,5.984375,5.984375,5.820312976837158,5.914062976837158,3973600
2000-02-04,4.4397149085998535,5.835937976837158,5.984375,5.828125,5.984375,12485600
2000-02-07,4.303016185760498,5.65625,5.828125,5.585937976837158,5.828125,6455200
2000-02-08,3.518489360809326,4.625,5.625,4.515625,5.625,65707200
2000-02-09,3.209432363510132,4.21875,4.5625,4.046875,4.5625,62571200
2000-02-10,3.209432363510132,4.21875,4.351562976837158,4.109375,4.171875,25032800
2000-02-11,3.2332074642181396,4.25,4.3125,4.140625,4.265625,12644800
2000-02-14,3.072735548019409,4.039062976837158,4.257812976837158,4.015625,4.1875,17859200
2000-02-15,2.8944332599639893,3.804687976837158,4.015625,3.78125,4.007812976837158,30056000
2000-02-16,2.8052823543548584,3.6875,3.84375,3.65625,3.804687976837158,22678400
2000-02-17,2.7577357292175293,3.625,3.734375,3.601562976837158,3.664062976837158,14977600
2000-02-18,2.662639617919922,3.5,3.640625,3.421875,3.609375,26087200
2000-02-22,2.5675463676452637,3.375,3.59375,3.375,3.578125,12847200
2000-02-23,2.6685843467712402,3.507812976837158,3.5625,3.492187976837158,3.53125,12624800
2000-02-24,2.5734899044036865,3.382812976837158,3.507812976837158,3.328125,3.5,16156800
2000-02-25,2.52594256401062,3.320312976837158,3.382812976837158,3.3125,3.375,14830400
2000-02-28,2.6507534980773926,3.484375,3.53125,3.351562976837158,3.367187976837158,16385600
2000-02-29,2.704244375228882,3.554687976837158,3.640625,3.484375,3.484375,12575200
2000-03-01,2.6745269298553467,3.515625,3.585937976837158,3.492187976837158,3.554687976837158,9884800
2000-03-02,2.7993390560150146,3.679687976837158,3.742187976837158,3.515625,3.546875,11260800
2000-03-03,2.7933948040008545,3.671875,3.78125,3.640625,3.757812976837158,6912800
2000-03-06,2.7101871967315674,3.5625,3.703125,3.523437976837158,3.6875,7684800
2000-03-07,2.6507534980773926,3.484375,3.601562976837158,3.460937976837158,3.59375,9532000
2000-03-08,2.5913190841674805,3.40625,3.453125,3.375,3.40625,10000000
2000-03-09,2.543771982192993,3.34375,3.40625,3.226562976837158,3.390625,14059200
2000-03-10,2.555659055709839,3.359375,3.429687976837158,3.351562976837158,3.367187976837158,12566400
2000-03-13,2.7339606285095215,3.59375,3.65625,3.3125,3.390625,20965600
2000-03-14,2.745847702026367,3.609375,3.765625,3.53125,3.625,18244000
2000-03-15,3.1381125450134277,4.125,4.1875,3.570312976837158,3.578125,25912800
2000-03-16,3.405813217163086,4.46875,4.75,3.921875,4.117187976837158,17427200
2000-03-17,3.2390966415405273,4.25,4.515625,4.015625,4.328125,30021600
2000-03-20,3.1438281536102295,4.125,4.171875,4.039062976837158,4.039062976837158,14386400
2000-03-21,3.155735969543457,4.140625,4.179687976837158,4.03125,4.140625,13809600
2000-03-22,3.2152788639068604,4.21875,4.3125,4.179687976837158,4.28125,11780000
2000-03-23,3.2390966415405273,4.25,4.328125,4.15625,4.203125,12538400
2000-03-24,3.227187156677246,4.234375,4.3125,4.210937976837158,4.25,7305600
2000-03-27,3.4236769676208496,4.492187976837158,4.53125,4.375,4.5,16704800
2000-03-28,3.5070362091064453,4.601562976837158,4.601562976837158,4.46875,4.523437976837158,9060800
2000-03-29,3.71543288230896,4.875,4.90625,4.601562976837158,4.601562976837158,17080800
2000-03-30,3.685661792755127,4.835937976837158,4.890625,4.710937976837158,4.882812976837158,13088800
2000-03-31,3.7749745845794678,4.953125,5.0,4.804687976837158,4.84375,15036800
2000-04-03,3.810699701309204,5.0,5.125,5.0,5.125,14220800
2000-04-04,3.7094788551330566,4.867187976837158,5.015625,4.546875,5.0,12149600
2000-04-05,3.7332966327667236,4.898437976837158,5.0625,4.859375,4.9375,5654400
2000-04-06,3.9595565795898438,5.195312976837158,5.21875,4.914062976837158,4.914062976837158,11058400
2000-04-07,4.090550422668457,5.367187976837158,5.367187976837158,5.226562976837158,5.3125,12285600
2000-04-10,4.096506118774414,5.375,5.398437976837158,5.25,5.351562976837158,6696800
2000-04-11,4.298947811126709,5.640625,5.71875,5.484375,5.484375,18799200
2000-04-12,4.233450889587402,5.554687976837158,5.664062976837158,5.492187976837158,5.632812976837158,9212800
2000-04-13,4.185816764831543,5.492187976837158,5.648437976837158,5.46875,5.5625,9680000
2000-04-14,4.06077766418457,5.328125,5.40625,5.109375,5.3125,17863200
2000-04-17,4.00123405456543,5.25,5.375,5.109375,5.359375,12481600
2000-04-18,4.036962032318115,5.296875,5.4375,5.117187976837158,5.226562976837158,11352000
2000-04-19,4.197725772857666,5.507812976837158,5.734375,5.375,5.421875,9402400
2000-04-20,4.185816764831543,5.492187976837158,5.546875,5.46875,5.515625,6341600
2000-04-24,4.114366054534912,5.398437976837158,5.671875,5.382812976837158,5.507812976837158,7215200
2000-04-25,4.346578121185303,5.703125,5.726562976837158,5.359375,5.390625,6885600
2000-04-26,4.1798601150512695,5.484375,5.65625,5.398437976837158,5.65625,4333600
2000-04-27,4.126274585723877,5.414062976837158,5.445312976837158,5.328125,5.375,3830400
2000-04-28,4.13818359375,5.429687976837158,5.617187976837158,5.390625,5.5625,7720000
2000-05-01,4.4358930587768555,5.820312976837158,5.890625,5.421875,5.429687976837158,8130400
2000-05-02,4.310853958129883,5.65625,5.789062976837158,5.578125,5.789062976837158,4469600
2000-05-03,4.036962032318115,5.296875,5.460937976837158,5.203125,5.40625,8126400
2000-05-04,4.072685718536377,5.34375,5.5,5.3125,5.375,6128800
2000-05-05,4.072685718536377,5.34375,5.414062976837158,5.21875,5.34375,4955200
2000-05-08,4.102459907531738,5.382812976837158,5.484375,5.328125,5.34375,6868000
2000-05-09,4.114366054534912,5.398437976837158,5.429687976837158,5.28125,5.351562976837158,6644000
2000-05-10,4.025052547454834,5.28125,5.328125,5.195312976837158,5.3125,4293600
2000-05-11,4.066729545593262,5.335937976837158,5.34375,5.257812976837158,5.28125,2653600
2000-05-12,4.078643798828125,5.351562976837158,5.351562976837158,5.21875,5.25,2688000
2000-05-15,4.203680038452148,5.515625,5.554687976837158,5.28125,5.359375,5956000
